['01', '32', '12', '31']
['01', '32', '13', '02']
['01', '32', '13', '03']
['01', '32', '13', '20']
['01', '32', '13', '21']
['01', '32', '13', '23']
['01', '32', '13', '10']
['01', '32', '13', '12']
['01', '32', '13', '30']
['01', '32', '13', '31']
['01', '32', '30', '02']
['01', '32', '30', '03']
['01', '32', '30', '20']
['01', '32', '30', '21']
['01', '32', '30', '23']
['01', '32', '30', '10']
['01', '32', '30', '12']
['01', '32', '30', '13']
['01', '32', '30', '31']
['01', '32', '31', '02']
['01', '32', '31', '03']
['01', '32', '31', '20']
['01', '32', '31', '21']
['01', '32', '31', '23']
['01', '32', '31', '10']
['01', '32', '31', '12']
['01', '32', '31', '13']
['01', '32', '31', '30']
['02', '01', '03', '20']
['02', '01', '03', '21']
['02', '01', '03', '23']
['02', '01', '03', '10']
['02', '01', '03', '12']
['02', '01', '03', '13']
['02', '01', '03', '30']
['02', '01', '03', '31']
['02', '01', '03', '32']
['02', '01', '20', '03']
['02', '01', '20', '21']
['02', '01', '20', '23']
['02', '01', '20', '10']
['02', '01', '20', '12']
['02', '01', '20', '13']
['02', '01', '20', '30']
['02', '01', '20', '31']
['02', '01', '20', '32']
['02', '01', '21', '03']
['02', '01', '21', '20']
['02', '01', '21', '23']
['02', '01', '21', '10']
['02', '01', '21', '12']
['02', '01', '21', '13']
['02', '01', '21', '30']
['02', '01', '21', '31']
['02', '01', '21', '32']
['02', '01', '23', '03']
['02', '01', '23', '20']
['02', '01', '23', '21']
['02', '01', '23', '10']
['02', '01', '23', '12']
['02', '01', '23', '13']
['02', '01', '23', '30']
['02', '01', '23', '31']
['02', '01', '23', '32']
['02', '01', '10', '03']
['02', '01', '10', '20']
['02', '01', '10', '21']
['02', '01', '10', '23']
['02', '01', '10', '12']
['02', '01', '10', '13']
['02', '01', '10', '30']
['02', '01', '10', '31']
['02', '01', '10', '32']
['02', '01', '12', '03']
['02', '01', '12', '20']
['02', '01', '12', '21']
['02', '01', '12', '23']
['02', '01', '12', '10']
['02', '01', '12', '13']
['02', '01', '12', '30']
['02', '01', '12', '31']
['02', '01', '12', '32']
['02', '01', '13', '03']
['02', '01', '13', '20']
['02', '01', '13', '21']
['02', '01', '13', '23']
['02', '01', '13', '10']
['02', '01', '13', '12']
['02', '01', '13', '30']
['02', '01', '13', '31']
['02', '01', '13', '32']
['02', '01', '30', '03']
['02', '01', '30', '20']
['02', '01', '30', '21']
['02', '01', '30', '23']
['02', '01', '30', '10']
['02', '01', '30', '12']
['02', '01', '30', '13']
['02', '01', '30', '31']
['02', '01', '30', '32']
['02', '01', '31', '03']
['02', '01', '31', '20']
['02', '01', '31', '21']
['02', '01', '31', '23']
['02', '01', '31', '10']
['02', '01', '31', '12']
['02', '01', '31', '13']
['02', '01', '31', '30']
['02', '01', '31', '32']
['02', '01', '32', '03']
['02', '01', '32', '20']
['02', '01', '32', '21']
['02', '01', '32', '23']
['02', '01', '32', '10']
